"","V1"
"16344","Fantastic location right near the harbour and a short stroll to Salamanca Place. We stayed in the executive spa suite . It was a lovely large room on the 10th floor with a mountain view,a king size bed that was a dream to sleep in and a spa bath to relax in. The bathroom is a little basic but clean and had everything you needed. There was parking for our car as well. The staff were friendly and helpful."
"16345","Fantastic location right near the harbour and a short stroll to Salamanca Place. We stayed in the executive spa suite . It was a lovely large room on the 10th floor with a mountain view,a king size bed that was a dream to sleep in and a spa bath to relax in. The bathroom is a little basic but clean and had everything you needed. There was parking for our car as well. The staff were friendly and helpful."
"16346","Nice pool, garden and architecture. Spacious room and daily cleaning. Our room had view to the pool and it was very quiet during all night. Central location with short distance to the beach, 20 min walk to Nouveau Talborjt, where you find many cheap maroccan restaurants."
"16347","Slightly shabby some places, but they have started renovating. We had to beg them turn down the music volume by the pool, and they did so. The breakfast buffet could be more varied."
"16348","Nice pool, garden and architecture. Spacious room and daily cleaning. Our room had view to the pool and it was very quiet during all night. Central location with short distance to the beach, 20 min walk to Nouveau Talborjt, where you find many cheap maroccan restaurants."
"16349","Slightly shabby some places, but they have started renovating. We had to beg them turn down the music volume by the pool, and they did so. The breakfast buffet could be more varied."
"16350","I had a problem with the reservation (my fault, wrong dates), and both the agency (Hotelopia) and the staff (Ana) helped as much as they could to have the problem solved. "
"16351","I had a problem with the reservation (my fault, wrong dates), and both the agency (Hotelopia) and the staff (Ana) helped as much as they could to have the problem solved. "
"16352","An extremely spacious room, and the swimming pool was nice although it is not actually in the same building as the hotel."
"16353","No subtitles on the televisions and the staff were unable to help with this problem. "
"16354","An extremely spacious room, and the swimming pool was nice although it is not actually in the same building as the hotel."
"16355","No subtitles on the televisions and the staff were unable to help with this problem. "
"16356","Perfect location  Perfect beach"
"16357","Perfect location  Perfect beach"
"16358","A superb value hotel in a great location"
"16359","A superb value hotel in a great location"
"16360","Everything was perfect !  The breakfast was excellent !  "
"16361","The lifts were slow  Sometimes we waited for 10mns"
"16362","Everything was perfect !  The breakfast was excellent !  "
"16363","The lifts were slow  Sometimes we waited for 10mns"
"16364","very good location"
"16365","very good location"
"16366","Could not fault it in any way,excellent location for travelling into central London or the south coast."
